% Model,AuNP-7-30nm-inc-Mas-BK7.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 11 2024, 13:23"
% Dimension,3
% Nodes,33519
% Expressions,1
% Description,Multislice
% X,Y,Z,sqrt(abs(ewfd.relEx)^2+abs(ewfd.relEy)^2+abs(ewfd.relEz)^2)
-4.301339185275743E-14,-252.959375,-228.25625,3.7881788800607463E-6
-3.970466940254532E-14,-244.725,-228.25625,5.544212522534907E-6
2.605618929542037E-14,-220.02187499999997,-269.42812499999997,3.160869662095914E-6
2.729696021424991E-14,-211.78749999999997,-269.42812499999997,4.009456851330124E-6
8.933550615572698E-14,-220.02187499999997,-261.19374999999985,4.452589999855889E-6
8.933550615572698E-14,-211.78749999999994,-261.1937499999999,5.71599442574926E-6
4.0118259708821836E-14,-236.49062499999997,-252.95937499999994,3.507235044123232E-6
4.053185001509835E-14,-228.25625,-252.95937499999982,4.7419781809014715E-6
-6.617444900424221E-15,-236.49062499999997,-244.72499999999988,4.7148084763069656E-6
-8.271806125530275E-15,-228.25624999999997,-244.72499999999988,6.448322447432069E-6
-3.060568266446202E-14,-285.8968749999999,-187.08437499999997,9.603890297305838E-7
-2.895132143935596E-14,-277.6625,-187.08437499999997,1.578452706621789E-6
-4.053185001509835E-14,-285.89687499999997,-178.85,9.650577207035433E-7
-3.639594695233321E-14,-277.66249999999997,-178.84999999999997,1.6053811834342892E-6
-3.59823566460567E-14,-187.08437499999997,-285.89687499999997,2.9958521780944856E-6
-3.391440511467413E-14,-178.84999999999997,-285.89687499999997,3.3702534306404916E-6
-2.895132143935596E-14,-187.08437499999997,-277.6625,4.517294272297079E-6
-2.6469779601696882E-14,-178.84999999999997,-277.6625,5.157264023764611E-6
2.8124140826802938E-14,-203.55312499999994,-269.42812499999997,4.958637461835363E-6
2.895132143935596E-14,-195.31874999999997,-269.42812499999997,6.043702285200532E-6
8.933550615572698E-14,-203.55312499999994,-261.1937499999999,7.210089059433565E-6
8.933550615572698E-14,-195.31874999999994,-261.1937499999999,8.91749985240346E-6
-1.7784383169890092E-14,-269.42812499999997,-203.55312499999994,2.439738173956776E-6
-1.8197973476166606E-14,-261.19374999999997,-203.55312499999997,3.877319391525031E-6
-2.3161057151484772E-14,-269.42812499999997,-195.31875,2.7487599819213993E-6
-2.4815418376590827E-14,-261.19374999999997,-195.31875,4.45656034366676E-6
-2.7710550520526424E-14,-252.959375,-220.02187499999997,4.577654712635659E-6
-2.6469779601696882E-14,-244.725,-220.02187499999997,6.873228688226801E-6
-1.2407709188295414E-14,-252.959375,-211.78749999999994,5.624850705170239E-6
-1.3234889800848441E-14,-244.72499999999994,-211.78749999999994,8.603671798669671E-6
-2.1506695926378716E-14,-236.49062499999997,-236.49062499999994,6.324384925368852E-6
-2.067951531382569E-14,-228.25624999999997,-236.49062499999994,8.849966022069024E-6
-3.639594695233321E-14,-236.490625,-228.25625,8.282758196810238E-6
-3.30872245021211E-14,-228.25625,-228.25625,1.1746361487404274E-5
4.053185001509835E-14,-220.02187499999997,-252.95937499999988,6.444129411070614E-6
4.053185001509835E-14,-211.78749999999994,-252.95937499999988,8.413134242528174E-6
-8.271806125530275E-15,-220.02187499999997,-244.72499999999988,8.92448711441667E-6
-8.271806125530275E-15,-211.78749999999994,-244.72499999999988,1.1789493296778822E-5
-1.8197973476166606E-14,-269.42812499999997,-187.084375,2.7310182382097818E-6
-7.444625512977247E-15,-261.19374999999997,-187.084375,4.480838747523012E-6
-1.3234889800848441E-14,-269.42812499999997,-178.84999999999997,2.8736489259277533E-6
9.92616735063633E-15,-261.19374999999997,-178.85,4.779964724680156E-6
2.977850205190899E-14,-187.08437499999997,-269.42812499999997,7.010888029502884E-6
3.060568266446202E-14,-178.84999999999997,-269.42812499999997,8.105046109657177E-6
8.850832554317395E-14,-187.08437499999997,-261.1937499999999,1.0559716250394747E-5
8.768114493062092E-14,-178.84999999999997,-261.1937499999999,1.2408926140864325E-5
4.0118259708821836E-14,-203.5531249999999,-252.95937499999994,1.086382963367542E-5
3.970466940254532E-14,-195.31874999999994,-252.95937499999988,1.363930612649652E-5
-9.098986738083303E-15,-203.55312499999994,-244.72499999999988,1.555210306584464E-5
-9.92616735063633E-15,-195.31874999999994,-244.72499999999988,1.9798671284024904E-5
-1.9438744394996147E-14,-252.959375,-203.55312499999994,6.336903220424208E-6
-2.067951531382569E-14,-244.72499999999994,-203.55312499999997,9.946839239340629E-6
-2.6469779601696882E-14,-252.959375,-195.31875,7.466866082548905E-6
-2.8124140826802938E-14,-244.725,-195.31875,1.19771775236324E-5
-2.4401828070314313E-14,-236.49062499999997,-220.02187499999997,1.0557014394617106E-5
-2.2333876538931744E-14,-228.25625,-220.02187499999997,1.5394656410335424E-5
-1.2407709188295414E-14,-236.49062499999997,-211.78749999999994,1.343587878854496E-5
-1.1580528575742386E-14,-228.25624999999997,-211.78749999999994,1.9933004144151355E-5
-1.861156378244312E-14,-220.02187499999997,-236.49062499999994,1.2585320687011579E-5
-1.654361225106055E-14,-211.78749999999997,-236.49062499999994,1.6988529230519367E-5
-2.895132143935596E-14,-220.02187499999997,-228.25625,1.699452928491175E-5
-2.4815418376590827E-14,-211.78749999999997,-228.25625,2.3212934242456675E-5
-8.271806125530275E-15,-252.959375,-187.084375,7.77650561500963E-6
-9.098986738083303E-15,-244.725,-187.084375,1.271113298377247E-5
