Wavelength  [nm],3nm Extinction [a.u.],5nm Extinction [a.u.],7nm Extinction [a.u.],9nm Extinction [a.u.],11nm Extinction [a.u.],13nm Extinction [a.u.],15nm Extinction [a.u.],17nm Extinction [a.u.]
231.28743,-0.028029999999999999,0.20362,-0.07918,0.30103000000000002,0.3876,0.17609,0.18046000000000001,0.28399999999999997
231.55599000000001,-0.026329999999999999,-0.28349000000000002,-0.48902000000000001,0.41016999999999998,0.061269999999999998,0.47711999999999999,-0.13830000000000001,-0.47711999999999999
231.82454999999999,-0.090179999999999996,-0.41377999999999998,NaN,0.37565999999999999,NaN,0.35750999999999999,NaN,-0.89209000000000005
232.09308999999999,-0.22184999999999999,0.90308999999999995,-0.84509999999999996,-0.15970000000000001,NaN,-0.16914000000000001,0.79588000000000003,-0.10914
232.36162999999999,-0.62839,-0.72970999999999997,-0.12909000000000001,0.014239999999999999,-0.58826999999999996,-0.68123999999999996,0.35902000000000001,-0.60206000000000004
232.63014999999999,-0.91832999999999998,0.97367000000000004,NaN,0.97772000000000003,NaN,0.05799,NaN,0.22184999999999999
232.89867000000001,-0.40866000000000002,0.19381999999999999,-0.16975000000000001,0.098379999999999995,-0.12494,NaN,NaN,0.18142
233.16719000000001,NaN,0.17330000000000001,-0.077990000000000004,0.21621000000000001,-0.65320999999999996,-0.42597000000000002,-0.024129999999999999,0.1963
233.43568999999999,-0.65320999999999996,-0.23383999999999999,0.21912999999999999,NaN,Inf,NaN,0,0.87505999999999995
233.70419000000001,-0.61541999999999997,NaN,0.60206000000000004,-0.11539000000000001,0.40576000000000001,0.9345,0.47711999999999999,-0.42207
233.97268,-0.61845000000000006,-0.27173999999999998,-0.060699999999999997,NaN,0.95423999999999998,NaN,0.35217999999999999,NaN
234.24116000000001,-0.066949999999999996,-0.77131000000000005,0.26627000000000001,-0.62324999999999997,NaN,0.1714,0.27106999999999998,0.24864
234.50962999999999,-0.20412,-0.20749999999999999,0.80618000000000001,0,1.1303300000000001,0.34449999999999997,0.23608999999999999,0.24629000000000001
234.77809999999999,-0.69896999999999998,-0.72016000000000002,NaN,-0.23735999999999999,NaN,0.71786000000000005,-0.05799,0.57403000000000004
235.04656,-0.041390000000000003,0.52669999999999995,NaN,0.41299999999999998,NaN,0.14976,0.24629000000000001,NaN
235.31501,-0.40456999999999999,0.32102999999999998,0.58245999999999998,0.075069999999999998,-0.30103000000000002,0.10199,NaN,0
235.58345,-0.41016999999999998,-0.19555,-0.32451000000000002,-0.19312000000000001,NaN,-0.024819999999999998,NaN,-0.15490000000000001
235.85187999999999,-0.35025000000000001,-0.34438999999999997,Inf,-0.18833,-0.072550000000000003,-0.10353999999999999,-0.1963,NaN
236.12030999999999,NaN,-0.21307000000000001,NaN,0,-0.53839000000000004,0.22184999999999999,0.064460000000000003,NaN
236.38873000000001,-0.10473,-0.51520999999999995,Inf,0.98900999999999994,NaN,1.02119,0.033860000000000001,NaN
236.65714,-1.1139399999999999,0.56920999999999999,-0.24304000000000001,NaN,0.0097599999999999996,-1.07918,-1,0.074630000000000002
236.92554999999999,-0.72699999999999998,0.24923999999999999,NaN,NaN,0.53359999999999996,-0.12494,NaN,-0.0099799999999999993
237.19394,NaN,0.35259000000000001,0.2833,-0.44369999999999998,0.93784999999999996,NaN,0.35902000000000001,-0.022859999999999998
237.46233000000001,NaN,0.099629999999999996,0.31875999999999999,0.84509999999999996,NaN,0.49485000000000001,NaN,-0.066949999999999996
237.73070999999999,0.55930999999999997,NaN,NaN,NaN,NaN,0.42597000000000002,0.78710999999999998,-0.76592000000000005
237.99907999999999,0.50060000000000004,-0.33566000000000001,NaN,0.30103000000000002,NaN,NaN,Inf,NaN
238.26743999999999,NaN,-1.43377,0.074099999999999999,Inf,-0.015789999999999998,0.11040999999999999,NaN,-0.03533
238.53579999999999,0.43012,NaN,0.27711999999999998,0,-0.76768999999999998,-0.087150000000000005,NaN,-0.56427000000000005
238.80414999999999,-0.64625999999999995,0.1963,0.54407000000000005,NaN,-0.30103000000000002,0.15970000000000001,0.14943999999999999,0.055050000000000002
239.07248999999999,-1.1461300000000001,0.09776,0.20412,NaN,0.32123000000000002,NaN,0.26627000000000001,0.41299999999999998
239.34082000000001,-0.55930999999999997,-0.32735999999999998,0.07639,0.39794000000000002,-0.10266,1.3617300000000001,NaN,NaN
239.60915,-0.88080999999999998,NaN,NaN,NaN,-0.22184999999999999,NaN,-0.15761,-1.09108
239.87746999999999,-0.22933999999999999,-0.22439999999999999,0.33099000000000001,-0.16137000000000001,-0.27875,0.27173999999999998,-0.21387999999999999,NaN
240.14577,0.10145999999999999,NaN,-0.12494,-0.081670000000000006,0.13738,0.39794000000000002,-0.46583999999999998,-0.1181
240.41408000000001,0,0.042750000000000003,0.1181,0.051150000000000001,0.86529999999999996,0.36797999999999997,NaN,-0.044580000000000002
240.68236999999999,-0.2278,-0.0049100000000000003,0.71120000000000005,NaN,NaN,-0.84509999999999996,0.12758,0.53712000000000004
240.95066,-0.13566,0.080920000000000006,NaN,0.85126000000000002,-0.72699999999999998,-0.90308999999999995,0.30103000000000002,NaN
241.21893,-0.74036000000000002,NaN,-0.044200000000000003,0.31681999999999999,-0.24598,0.29003000000000001,-1.2787500000000001,NaN
241.4872,0.059310000000000002,NaN,0.65320999999999996,1.1139399999999999,-0.69896999999999998,-0.01336,0.051150000000000001,-0.30103000000000002
241.75547,-0.055219999999999998,-0.20547000000000001,1.5563,0.054359999999999999,-0.15126999999999999,0.66900999999999999,0.15606999999999999,0.65920000000000001
242.02372,NaN,0.072910000000000003,0.15490000000000001,0,-1.7323900000000001,-0.043470000000000002,0.60206000000000004,0.12494
242.29196999999999,NaN,-0.36797999999999997,-0.10266,0.35217999999999999,NaN,0.07918,0.022859999999999998,NaN
242.56021000000001,0.51663000000000003,-0.78174999999999994,-0.14061999999999999,0.47711999999999999,0.15970000000000001,NaN,0.17609,-0.04922
242.82844,-0.24304000000000001,0.02342,0.02511,0.57572999999999996,0.37358000000000002,NaN,-0.18564,NaN
243.09666000000001,NaN,-0.021190000000000001,0.10199,0.22639999999999999,0.11539000000000001,-0.096909999999999996,0.66900999999999999,-0.57403000000000004
243.36488,-0.38020999999999999,0.068669999999999995,0.28255000000000002,0.40249000000000001,-0.55428999999999995,NaN,-0.23044999999999999,-0.34242
243.63308000000001,-0.40654000000000001,0.31014000000000003,Inf,-0.0078300000000000002,0.62839,-0.11651,0.42597000000000002,0.42935000000000001
243.90128000000001,0.074630000000000002,0.19213,-0.026329999999999999,-0.018100000000000002,NaN,0.27300000000000002,0.13469999999999999,NaN
244.16947999999999,NaN,0.10557,-0.86922999999999995,1.05436,1.2787500000000001,-0.38400000000000001,0.093420000000000003,0.070580000000000004
244.43765999999999,NaN,0.12766,0.46851999999999999,-0.054359999999999999,0.31439,NaN,NaN,-0.37565999999999999
244.70583999999999,-1.4623999999999999,NaN,0.087959999999999997,NaN,-0.10763,0.46583999999999998,NaN,0.27875
244.97399999999999,Inf,0.63827,-0.060699999999999997,-0.30103000000000002,NaN,0.34242,-0.43933,0.12199
245.24216000000001,0.38322000000000001,-0.041390000000000003,0.19458,0.03218,-0.23044999999999999,0.73468999999999995,0.062649999999999997,-0.45974999999999999
245.51032000000001,-1.05115,-0.37475000000000003,0.054359999999999999,NaN,NaN,0.34610999999999997,0.51558000000000004,0.075719999999999996
245.77846,-0.14468,0.33882000000000001,0.096909999999999996,NaN,NaN,NaN,-0.045760000000000002,0.05271
246.04660000000001,0.083549999999999999,1.3647,1.32222,0.14341999999999999,Inf,0.11115,0.19081999999999999,NaN
246.31473,0.0086,NaN,0.74819000000000002,0,0.068459999999999993,0.56988000000000005,0.33445000000000003,-0.20412
246.58285000000001,-0.91381000000000001,-0.24046000000000001,0.21085000000000001,-0.11869,0.11763999999999999,NaN,0.31741999999999998,-0.38322000000000001
246.85095999999999,NaN,NaN,0.32735999999999998,-0.02436,0.17069999999999999,NaN,0.17609,0.16273000000000001
247.11906999999999,NaN,NaN,-0.16797000000000001,0.13263,0.56067,NaN,-0.51188,0.30103000000000002
247.38717,0.19957,0.70811000000000002,0.070580000000000004,0.096909999999999996,1.2041200000000001,NaN,NaN,0.32033
247.65526,-0.66900999999999999,0.36835000000000001,0.60975000000000001,-0.26627000000000001,0.59292,-0.077170000000000002,0.25272,0.18451999999999999
247.92334,-0.52827000000000002,NaN,0.39334000000000002,-0.47711999999999999,0.52288000000000001,0.16273000000000001,-0.35217999999999999,0.074630000000000002
248.19140999999999,NaN,0.27983999999999998,0.60206000000000004,0.10067,0.24667,0.12173,NaN,-0.47711999999999999
